Date,agg0,agg10,agg30,agg60,agg120
1990-02-28,6.6,1.4,3.27,3.74,4.5
1990-03-01,4.2,0.55,1.33,1.57,1.73
1990-03-04,3.0,0.27,0.6,0.94,1.76
1990-03-05,4.0,1.6,2.36,2.36,2.36
1990-03-07,1.0,0.13,0.4,0.55,0.95
1990-03-11,1.2,0.2,0.5,0.6,0.6
1990-03-19,0.6,0.24,0.58,0.6,0.6
1990-04-10,2.4,0.34,0.69,0.87,1.15
1990-04-14,6.4,1.93,2.9,5.32,5.99
1990-04-15,5.4,0.56,1.4,2.34,3.57
1990-04-17,2.0,0.34,0.64,0.8,0.8
1990-05-10,11.0,4.8,8.6,8.6,10.3
1990-05-11,1.2,1.2,1.2,1.2,1.2
1990-05-12,0.9,0.22,0.37,0.54,0.88
1990-05-13,1.1,0.2,0.57,1.04,1.12
1990-05-14,5.2,1.8,3.4,4.47,4.6
1990-05-16,0.2,0.13,0.2,0.2,0.2
1990-05-23,3.6,0.95,1.71,2.26,3.6
1990-05-24,1.0,0.4,0.75,1.0,1.0
1990-05-25,0.4,0.23,0.4,0.4,0.4
1990-06-02,3.8,0.67,1.57,2.49,3.34
1990-06-03,0.8,0.24,0.44,0.59,0.59
1990-06-08,0.8,0.09,0.25,0.4,0.71
1990-06-19,4.3,1.8,2.8,3.16,3.2
1990-06-20,0.1,0.07,0.15,0.15,0.15
1990-06-21,3.4,1.4,1.8,1.8,1.8
1990-06-22,7.2,1.4,3.15,4.6,7.2
1990-06-23,0.2,0.2,0.2,0.2,0.2
1990-06-24,0.2,0.16,0.16,0.16,0.2
1990-06-26,1.6,0.52,1.23,1.6,1.6
1990-06-27,0.6,0.42,0.57,0.6,0.6
1990-06-28,4.0,1.4,2.53,3.23,3.7
1990-07-02,4.0,0.8,1.06,1.6,1.81
1990-07-03,2.4,1.4,1.4,1.4,1.4
1990-07-04,3.2,3.2,3.2,3.2,3.2
1990-07-05,7.6,1.1,2.7,3.8,6.71
1990-07-06,3.2,1.28,3.0,3.2,3.2
1990-07-08,1.2,0.5,0.6,0.6,0.6
1990-07-09,3.2,1.0,2.43,2.8,2.8
1990-07-10,0.4,0.08,0.24,0.4,0.4
1990-07-16,0.4,0.09,0.29,0.4,0.4
1990-07-23,3.4,2.25,3.21,3.32,3.4
1990-07-29,1.0,0.29,0.5,0.76,1.0
1990-08-05,1.8,0.59,0.92,1.8,1.8
1990-08-08,0.4,0.05,0.17,0.4,0.4
1990-08-09,16.4,4.0,12.0,16.4,16.4
1990-08-10,1.6,0.15,0.38,0.69,1.21
1990-08-15,2.8,0.72,1.37,2.07,2.39
1990-08-16,3.4,1.6,2.61,2.75,3.0
1990-08-17,1.2,0.4,0.4,0.4,0.4
1990-08-18,3.8,2.61,2.68,2.78,3.8
1990-08-20,15.6,1.1,2.57,3.36,6.7
1990-08-24,1.2,0.68,0.88,1.1,1.2
1990-08-25,1.8,0.93,1.61,1.8,1.8
1990-08-28,1.2,1.05,1.2,1.2,1.2
1990-08-30,8.0,2.13,3.1,3.72,5.8
1990-08-31,0.2,0.03,0.1,0.17,0.17
1990-09-01,0.8,0.14,0.33,0.4,0.4
1990-09-04,15.4,0.6,1.55,2.88,5.26
1990-09-05,2.2,0.36,0.78,1.28,1.6
1990-09-06,3.4,0.47,0.98,1.49,1.83
1990-09-07,1.0,0.36,0.59,0.79,0.79
1990-09-08,0.4,0.4,0.4,0.4,0.4
1990-09-17,0.4,0.13,0.31,0.4,0.4
1990-09-18,0.8,0.21,0.4,0.56,0.6
1990-09-19,6.0,1.4,1.89,2.25,3.14
1990-09-20,4.0,0.44,1.04,1.36,1.91
1990-09-21,8.0,1.07,2.56,4.88,6.2
1990-09-22,4.6,1.07,2.04,2.5,3.42
1990-09-23,1.8,0.6,0.85,1.65,1.8
1990-09-24,6.3,0.31,0.65,1.1,2.03
1990-09-25,3.3,0.33,0.74,1.27,2.23
1990-09-28,4.6,0.38,0.9,1.37,2.23
1990-09-29,6.0,0.4,1.2,2.09,3.27
1990-09-30,17.8,1.27,2.7,3.85,4.69
1990-10-01,1.8,1.0,1.0,1.0,1.0
1990-10-05,8.4,0.53,1.5,2.23,3.49
1990-10-06,10.8,0.91,2.06,2.32,3.04
